PART_NUMBER,Ref Des,MANUFACTUERE,MFG_PN,Qty,DESCRIPTION,VALUE,SUPPLIER,SUPPLIER_PN,
00010-00,X1,Abracon Corporation,ABLS-18.432MHZ-B2-T,1,CRYSTAL 18.432MHZ 18PF FUND SMD,18.432MHZ,DigiKey,535-9072-1-ND,
00023-00,U1,Atmel,ATMEGA48-20AU,1,IC AVR MCU 4K 20MHZ 5V 32TQFP,4K,DigiKey,ATMEGA48-20AU-ND,
00222-00,C8,AVX Corporation,08053C334KAZ2A,1,CAP CERM .33UF 10% 25V X7R 0805,330.0NF,DigiKey,478-3556-1-ND,use 390nF cap in stock
00256-00,U3,Texas Instruments,SN75176BD,1,IC DIFF BUS TXCVR 8-SOIC,?,DigiKey,296-1275-5-ND,
00261-00,LD1,OSRAM Opto Semiconductors,LH N974-KN-1-0-20-R18,1,LED CHIPLED 645NM RED DIFF 1206,RED,DigiKey,475-1416-1-ND,
00262-00,U2,Fairchild Semiconductor,MC78L05ACD,1,IC REGULATOR 5V 0.1A 5% 8-SOP,5V 100MA,DigiKey,MC78L05ACD-ND,
99013-00,"R8,R16,R24",Rohm Semiconductor,MCR10EZHF3300,3,RES 330 OHM 1/8W 1% 0805 SMD,330,DigiKey,RHM330CRCT-ND,5% ok
99001-00,R3,Rohm Semiconductor,MCR18EZHF1000,1,RES 100 OHM 1/4W 1% 1206 SMD,100,DigiKey,RHM100FCT-ND,5% ok; do not populate
00269-00,"C3,C4",AVX Corporation,08051A220KAT2A,2,CAP CERM 22PF 10% 100V NP0 0805,22PF,DigiKey,478-3736-1-ND,
00271-00,"C1,C2,C5,C7,C9,C10",Kemet,C0805C104Z5UACTU,6,CAP .10UF 50V CERAMIC Z5U 0805,100.0NF,DigiKey,399-1175-1-ND,in stock
99002-00,C6,Nichicon,UUX1E101MNL1GS,1,CAP 100 uF 25V SMD 6.3 mm D x 11 mm H,100UF,Mouser,647-UUX1E101MNL1GS,
00260-00,LD2,OSRAM Opto Semiconductors,LG N971-KN-1-0-20-R18,1,LED CHIPLED 570NM GREEN 1206 SMD,GREEN,DigiKey,475-1407-1-ND,
99015-00,Q1-3,Fairchild,"MJD3055TF
",3,Power Transistors NPN Epitaxial Sil,?,Mouser,512-MJD3055TF,
99004-00,"R10,R18,R26",Rohm,MCR18EZHFLR200,3,RES .20 OHM 1/4W 1% 1206 SMD,0.2,DigiKey,RHM.20QCT-ND,1% or better
99005-00,"R5,R12-R13,R20-R21",KOA,RK73H2ATTD5361F,5,0805 SMD Thick Film Chip Resistors 1/8watt 5.36Kohms 1%,,Mouser,660-RK73H2ATTD5361F,1% or better
99006-00,"R6,R14,R22",KOA,RK73H2ATTD75R0F,3,0805 SMD Thick Film Chip Resistors 1/8watts 75ohms 1%,,Mouser,660-RK73H2ATTD75R0F,1% or better
99007-00,"R7,R15,R23",Rohm Semiconductor,MCR10EZPF2204,3,RES 2.20M OHM 1/8W 1% 0805 SMD	,2.2M,DigiKey,RHM2.20MCRCT-ND,5% ok; in stock
99008-00,"R9,R17,R25",Rohm Semiconductor,MCR10EZPF2201,3,RES 2.20K OHM 1/8W 1% 0805 SMD,2.2K,DigiKey,RHM2.20KCRCT-ND,5% ok; in stock
99009-00,CN2,Phoenix Contact,1933202,1,TERM BLOCK HEADER 4POS 5MM BLACK,?,DigiKey,277-1647-ND,
99010-00,CN1,Molex Connector Corporation,15-91-0060,1,"CONN HEADER 6POS .100"" VERT 15AU",?,DigiKey,WM17457-ND,
99011-00,U4,Fairchild Semiconductor,LM324AM,1,IC OPAMP QUAD 0-70DEG C 14-SOIC,?,DigiKey,LM324AMFS-ND,
99012-00,"R1,R2",Rohm Semiconductor,MCR10EZHF1301,2,RES 1.30K OHM 1/8W 1% 0805 SMD,1.3K,DigiKey,RHM1.30KCCT-ND,5% ok; in stock
99014-00,"R4,R11,R19",Rohm Semiconductor,MCR10EZHF4641,3,RES 4.64K OHM 1/8W 1% 0805 SMD,4.64K,DigiKey,RHM4.64KCCT-ND,1% or better